cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,city_currentconfirmedCount,increasedconfirmedCount,label
金山区,Jinshan District,310116,4,0,4,0,2020/12/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/11/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/31,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/10/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/9/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/31,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/8/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/31,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/7/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/6/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/5/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/4/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/31,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/27,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/26,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/25,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/24,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/23,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/3/5,0,-1,0
金山区,Jinshan District,310116,4,0,3,0,2020/3/4,1,0,0
金山区,Jinshan District,310116,4,0,3,0,2020/3/3,1,0,0
金山区,Jinshan District,310116,4,0,3,0,2020/3/2,1,0,0
金山区,Jinshan District,310116,4,0,3,0,2020/3/1,1,0,0
金山区,Jinshan District,310116,4,0,3,0,2020/2/29,1,0,0
金山区,Jinshan District,310116,4,0,3,0,2020/2/28,1,0,0
金山区,Jinshan District,310116,4,0,3,0,2020/2/27,1,1,0
金山区,Jinshan District,310116,3,0,3,0,2020/2/26,0,-1,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/25,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/24,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/23,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/22,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/21,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/20,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/19,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/18,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/17,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/16,1,0,0
金山区,Jinshan District,310116,3,0,2,0,2020/2/15,1,-1,0
金山区,Jinshan District,310116,3,0,1,0,2020/2/14,2,0,0
金山区,Jinshan District,310116,3,0,1,0,2020/2/13,2,-1,0
金山区,Jinshan District,310116,3,0,0,0,2020/2/12,3,0,0
金山区,Jinshan District,310116,3,0,0,0,2020/2/11,3,0,0
金山区,Jinshan District,310116,3,0,0,0,2020/2/10,3,1,0
金山区,Jinshan District,310116,2,0,0,0,2020/2/9,2,0,0
金山区,Jinshan District,310116,2,0,0,0,2020/2/8,2,0,0
金山区,Jinshan District,310116,2,0,0,0,2020/2/7,2,0,0
金山区,Jinshan District,310116,2,0,0,0,2020/2/6,2,0,0
金山区,Jinshan District,310116,2,0,0,0,2020/2/5,2,0,0
金山区,Jinshan District,310116,2,0,0,0,2020/2/4,2,1,0
金山区,Jinshan District,310116,1,0,0,0,2020/2/3,1,0,0
金山区,Jinshan District,310116,1,0,0,0,2020/2/2,1,0,0
金山区,Jinshan District,310116,1,0,0,0,2020/2/1,1,0,0
金山区,Jinshan District,310116,1,0,0,0,2020/1/31,1,0,0
金山区,Jinshan District,310116,1,0,0,0,2020/1/30,1,0,0
金山区,Jinshan District,310116,1,0,0,0,2020/1/29,1,0,0
